#iteracije: log-izglednost
--
#1: -11812.85
#2: 22947.52
#3: 24063.21
#4: 24558.62
#5: 24812.82
#6: 24939.51
#7: 24999.37
#8: 25021.38
#9: 25040.03
#10: 25073.61
#11: 25103.08
#12: 25122.62
#13: 25132.76
#14: 25141.29
#15: 25147.17
#16: 25155.11
#17: 25164.86
#18: 25169.12
#19: 25171.16
#20: 25174.21
#21: 25178.17
#22: 25178.75
#23: 25179.09
#24: 25179.49
#25: 25179.95
#26: 25180.31
#27: 25180.63
#28: 25181.10
#29: 25182.07
#30: 25183.57
#31: 25184.41
#32: 25184.71
#33: 25184.80
#34: 25184.83
#35: 25184.83
#36: 25184.84
#37: 25184.84
#38: 25184.84
#39: 25184.84
#40: 25184.84
#41: 25184.84
#42: 25184.84
#43: 25184.84
#44: 25184.84
#45: 25184.84
#46: 25184.84
--
Grupa 1:  van 103, bus 94, opel 37, saab 36
Grupa 2:  opel 54, saab 50, bus 25
Grupa 3:  van 50, opel 16, saab 12, bus 5
Grupa 4:  saab 70, opel 64, bus 42
